"Generation","Cynicism","Career"
"Boomers",4,"Sales"
"GenerationX",4,"Pop Star"
"GenerationX",3,"Education"
"GenerationX",6,"Education"
"Gen2020",2,"Professional"
"Millenials",8,"Clerical"
"Boomers",3,"Sales"
"Boomers",3,"Sales"
"Gen2020",2,"Education"
"GenerationX",5,"Sales"
"Millenials",4,"Pop Star"
"Millenials",6,"Pop Star"
"GenerationX",2,"Sales"
"GenerationX",4,"Education"
"GenerationX",6,"Education"
"Boomers",5,"Clerical"
"Millenials",8,"Sales"
"GenerationX",3,"Clerical"
"Boomers",3,"Clerical"
"GenerationX",5,"Professional"
"Boomers",5,"Professional"
"Gen2020",0,"Clerical"
"Boomers",6,"Clerical"
"Boomers",3,"Professional"
"GenerationX",7,"Professional"
"Millenials",7,"Clerical"
"GenerationX",3,"Education"
"GenerationX",4,"Education"
"Traditionalists",7,"Clerical"
"Boomers",3,"Clerical"
"Boomers",2,"Clerical"
"GenerationX",2,"Clerical"
"Gen2020",5,"Professional"
"Millenials",7,"Professional"
"GenerationX",4,"Education"
"Gen2020",0,"Professional"
"GenerationX",6,"Clerical"
"GenerationX",6,"Education"
"Millenials",8,"Sales"
"Millenials",4,"Pop Star"
"GenerationX",5,"Clerical"
"GenerationX",3,"Sales"
"GenerationX",7,"Professional"
"GenerationX",5,"Sales"
"GenerationX",7,"Professional"
"GenerationX",5,"Sales"
"Boomers",4,"Clerical"
"Millenials",5,"Professional"
"Boomers",4,"Education"
"Millenials",6,"Clerical"
"GenerationX",5,"Education"
"Boomers",4,"Sales"
"Boomers",5,"Education"
"Gen2020",1,"Pop Star"
"Boomers",6,"Clerical"
"GenerationX",2,"Pop Star"
"Millenials",4,"Clerical"
"Boomers",4,"Education"
"Gen2020",4,"Education"
"Boomers",7,"Clerical"
"GenerationX",7,"Education"
"Millenials",4,"Education"
"Boomers",7,"Clerical"
"Gen2020",3,"Professional"
"Millenials",7,"Clerical"
"Millenials",6,"Sales"
"Gen2020",3,"Education"
"Gen2020",0,"Clerical"
"Millenials",4,"Professional"
"Gen2020",4,"Education"
"Millenials",5,"Education"
"GenerationX",2,"Pop Star"
"GenerationX",6,"Clerical"
"GenerationX",6,"Sales"
"Boomers",7,"Clerical"
"GenerationX",2,"Clerical"
"Millenials",5,"Sales"
"Millenials",7,"Clerical"
"Millenials",4,"Professional"
"GenerationX",4,"Professional"
"Millenials",4,"Pop Star"
"Gen2020",5,"Professional"
"Boomers",2,"Professional"
"GenerationX",4,"Sales"
"Millenials",8,"Clerical"
"Millenials",7,"Sales"
"GenerationX",4,"Education"
"Millenials",4,"Sales"
"Millenials",5,"Sales"
"Millenials",6,"Education"
"Boomers",7,"Professional"
"Boomers",7,"Clerical"
"Boomers",4,"Sales"
"Boomers",6,"Clerical"
"Boomers",6,"Education"
"GenerationX",6,"Clerical"
"Gen2020",5,"Clerical"
"GenerationX",3,"Professional"
"Millenials",5,"Education"
"Millenials",5,"Sales"
"Boomers",3,"Pop Star"
"GenerationX",5,"Sales"
"GenerationX",5,"Clerical"
"Millenials",7,"Clerical"
"Millenials",8,"Education"
"Boomers",2,"Sales"
"Boomers",4,"Professional"
"Boomers",3,"Clerical"
"Traditionalists",10,"Clerical"
"GenerationX",7,"Sales"
"Boomers",5,"Clerical"
"Boomers",2,"Professional"
"Millenials",5,"Professional"
"GenerationX",4,"Sales"
"Millenials",8,"Education"
"Boomers",7,"Professional"
"GenerationX",6,"Education"
"Millenials",4,"Pop Star"
"Boomers",5,"Clerical"
"GenerationX",5,"Education"
"Millenials",3,"Education"
"Boomers",7,"Professional"
"Boomers",2,"Sales"
"GenerationX",2,"Professional"
"Boomers",4,"Education"
"GenerationX",7,"Professional"
"GenerationX",7,"Education"
"Millenials",3,"Professional"
"Boomers",2,"Sales"
"Boomers",6,"Clerical"
"GenerationX",6,"Clerical"
"GenerationX",5,"Education"
"GenerationX",4,"Professional"
"Millenials",5,"Clerical"
"Boomers",5,"Sales"
"Millenials",3,"Sales"
"Millenials",5,"Clerical"
"Millenials",8,"Education"
"Millenials",8,"Clerical"
"Traditionalists",10,"Clerical"
"Millenials",8,"Clerical"
"GenerationX",3,"Clerical"
"GenerationX",2,"Pop Star"
"Millenials",3,"Clerical"
"Gen2020",4,"Sales"
"Millenials",7,"Clerical"
"Boomers",7,"Education"
"Boomers",4,"Clerical"
"GenerationX",2,"Sales"
"GenerationX",5,"Clerical"
"GenerationX",4,"Pop Star"
"GenerationX",4,"Sales"
"GenerationX",3,"Education"
"Boomers",3,"Clerical"
"GenerationX",3,"Clerical"
"GenerationX",5,"Clerical"
"GenerationX",5,"Education"
"GenerationX",6,"Clerical"
"GenerationX",2,"Clerical"
"GenerationX",5,"Clerical"
"GenerationX",2,"Clerical"
"GenerationX",6,"Professional"
"Millenials",4,"Clerical"
"GenerationX",4,"Professional"
"Boomers",7,"Clerical"
"GenerationX",3,"Clerical"
"Boomers",5,"Education"
"Millenials",7,"Clerical"
"GenerationX",3,"Education"
"Boomers",6,"Clerical"
"Boomers",2,"Professional"
"GenerationX",4,"Clerical"
"Boomers",4,"Pop Star"
"GenerationX",5,"Clerical"
"Gen2020",2,"Clerical"
"GenerationX",2,"Clerical"
"Boomers",6,"Education"
"GenerationX",4,"Sales"
"Boomers",3,"Education"
"Boomers",5,"Clerical"
"GenerationX",5,"Sales"
"Boomers",7,"Sales"
"Boomers",7,"Professional"
"Boomers",2,"Pop Star"
"Millenials",6,"Clerical"
"Boomers",2,"Clerical"
"GenerationX",4,"Clerical"
"Gen2020",2,"Professional"
"Boomers",2,"Clerical"
"Gen2020",0,"Pop Star"
"GenerationX",4,"Education"
"Millenials",8,"Professional"
"GenerationX",6,"Clerical"
"Gen2020",0,"Sales"
"GenerationX",3,"Clerical"
"GenerationX",6,"Clerical"
"Millenials",4,"Sales"
"Millenials",4,"Education"
"Boomers",3,"Clerical"
"GenerationX",6,"Professional"
"Boomers",7,"Professional"
"Boomers",5,"Sales"
"Gen2020",3,"Education"
"Millenials",8,"Clerical"
"Millenials",4,"Education"
"Gen2020",0,"Clerical"
"Millenials",5,"Clerical"
"GenerationX",3,"Clerical"
"Gen2020",3,"Professional"
"GenerationX",4,"Education"
"Gen2020",3,"Education"
"GenerationX",3,"Clerical"
"GenerationX",7,"Education"
"GenerationX",5,"Sales"
"Boomers",4,"Professional"
"GenerationX",3,"Clerical"
"GenerationX",7,"Education"
"Boomers",2,"Education"
"GenerationX",4,"Clerical"
"GenerationX",4,"Professional"
"GenerationX",6,"Sales"
"GenerationX",6,"Clerical"
"GenerationX",4,"Clerical"
"Millenials",8,"Clerical"
"Millenials",5,"Clerical"
"Gen2020",3,"Clerical"
"Millenials",5,"Sales"
"GenerationX",7,"Sales"
"Millenials",3,"Education"
"GenerationX",7,"Professional"
"GenerationX",6,"Clerical"
"GenerationX",2,"Clerical"
"GenerationX",5,"Sales"
"Boomers",5,"Education"
"Gen2020",4,"Clerical"
"Boomers",4,"Professional"
"GenerationX",3,"Education"
"GenerationX",6,"Clerical"
"Boomers",7,"Sales"
"Gen2020",1,"Education"
"GenerationX",5,"Clerical"
"Gen2020",4,"Clerical"
"GenerationX",3,"Education"
"GenerationX",5,"Professional"
"GenerationX",4,"Sales"
"Gen2020",0,"Clerical"
"Millenials",5,"Clerical"
"Boomers",7,"Sales"
"Traditionalists",9,"Professional"
"Gen2020",0,"Pop Star"
"Boomers",5,"Education"
"GenerationX",4,"Pop Star"
"Boomers",3,"Pop Star"
"GenerationX",5,"Professional"
"Boomers",7,"Clerical"
"Boomers",3,"Education"
"GenerationX",2,"Education"
"Boomers",4,"Professional"
"Boomers",2,"Professional"
"Millenials",3,"Sales"
"GenerationX",2,"Education"
"Millenials",7,"Clerical"
"GenerationX",7,"Clerical"
"Boomers",3,"Professional"
"GenerationX",3,"Clerical"
"Gen2020",0,"Clerical"
"Boomers",6,"Education"
"Millenials",6,"Education"
"Millenials",4,"Education"
"Boomers",4,"Clerical"
"GenerationX",6,"Pop Star"
"Boomers",5,"Sales"
"Boomers",3,"Pop Star"
"Millenials",7,"Professional"
"Boomers",7,"Clerical"
"GenerationX",7,"Professional"
"Millenials",8,"Professional"
"GenerationX",7,"Professional"
"GenerationX",6,"Clerical"
"Boomers",5,"Clerical"
"GenerationX",7,"Clerical"
"Boomers",7,"Education"
"GenerationX",2,"Sales"
"Millenials",3,"Pop Star"
"Boomers",7,"Professional"
"GenerationX",7,"Clerical"
"GenerationX",4,"Clerical"
"Millenials",8,"Clerical"
"Boomers",7,"Professional"
"Millenials",8,"Clerical"
"GenerationX",7,"Sales"
"Millenials",5,"Education"
"GenerationX",4,"Education"
"Boomers",7,"Clerical"
"GenerationX",2,"Professional"
"Gen2020",0,"Education"
"Boomers",6,"Clerical"
"Millenials",4,"Professional"
"GenerationX",6,"Clerical"
"GenerationX",2,"Sales"
"GenerationX",5,"Sales"
"Boomers",6,"Clerical"
"GenerationX",7,"Education"
"Gen2020",4,"Education"
"Traditionalists",8,"Professional"
"Gen2020",4,"Clerical"
"Boomers",2,"Education"
"Boomers",3,"Professional"
"GenerationX",3,"Education"
"Millenials",7,"Clerical"
"Millenials",8,"Education"
"Boomers",5,"Professional"
"GenerationX",2,"Professional"
"GenerationX",2,"Sales"
"GenerationX",7,"Clerical"
"Millenials",5,"Sales"
"Millenials",3,"Professional"
"Millenials",3,"Sales"
"GenerationX",5,"Education"
"GenerationX",3,"Clerical"
"Millenials",5,"Sales"
"Boomers",5,"Clerical"
"GenerationX",6,"Clerical"
"Millenials",4,"Sales"
"GenerationX",6,"Clerical"
"GenerationX",5,"Education"
"GenerationX",5,"Clerical"
"GenerationX",7,"Clerical"
"Millenials",4,"Pop Star"
"Millenials",5,"Clerical"
"GenerationX",3,"Clerical"
"Boomers",4,"Education"
"Millenials",6,"Pop Star"
"Millenials",8,"Sales"
"Millenials",6,"Professional"
"Boomers",3,"Education"
"Millenials",6,"Sales"
"GenerationX",4,"Professional"
"Millenials",3,"Clerical"
"GenerationX",6,"Sales"
"GenerationX",3,"Professional"
"GenerationX",7,"Professional"
"Millenials",3,"Education"
"Millenials",3,"Professional"
"Boomers",5,"Clerical"
"Gen2020",5,"Sales"
"GenerationX",5,"Professional"
"Gen2020",0,"Clerical"
"GenerationX",2,"Sales"
"GenerationX",3,"Professional"
"Millenials",6,"Education"
"Boomers",3,"Sales"
"Boomers",7,"Professional"
"Gen2020",5,"Education"
"Millenials",6,"Clerical"
"Boomers",2,"Clerical"
"Boomers",6,"Clerical"
"GenerationX",3,"Clerical"
"GenerationX",5,"Professional"
"Gen2020",2,"Sales"
"Boomers",6,"Education"
"Millenials",5,"Sales"
"Boomers",2,"Sales"
"Millenials",8,"Professional"
"GenerationX",2,"Clerical"
"GenerationX",3,"Clerical"
"Millenials",8,"Sales"
"Millenials",5,"Education"
"Millenials",5,"Professional"
"Boomers",4,"Professional"
"Boomers",2,"Clerical"
"GenerationX",3,"Sales"
"Gen2020",4,"Professional"
"GenerationX",7,"Clerical"
"Gen2020",1,"Education"
"GenerationX",6,"Clerical"
"Millenials",5,"Education"
"Millenials",8,"Clerical"
"GenerationX",2,"Clerical"
"GenerationX",6,"Education"
"Boomers",3,"Education"
"GenerationX",6,"Clerical"
"Millenials",7,"Clerical"
"GenerationX",7,"Education"
"GenerationX",7,"Professional"
"GenerationX",3,"Education"
"Millenials",4,"Professional"
"Boomers",7,"Clerical"
"Millenials",7,"Clerical"
"GenerationX",4,"Education"
"Boomers",6,"Education"
"Millenials",3,"Clerical"
"Boomers",7,"Education"
"Millenials",5,"Education"
"Gen2020",0,"Sales"
"Millenials",3,"Clerical"
"Millenials",7,"Professional"
"Millenials",8,"Clerical"
"GenerationX",7,"Education"
"Boomers",3,"Education"
"Boomers",5,"Education"
"Millenials",7,"Education"
"Millenials",3,"Professional"
"Gen2020",4,"Professional"
"Millenials",8,"Professional"
"Boomers",4,"Clerical"
"Boomers",4,"Education"
"Millenials",8,"Clerical"
"Millenials",5,"Education"
"Boomers",6,"Education"
"GenerationX",3,"Professional"
"Boomers",4,"Education"
"Millenials",4,"Sales"
"Gen2020",0,"Education"
"GenerationX",3,"Clerical"
"Millenials",6,"Professional"
"Boomers",3,"Education"
"Boomers",3,"Clerical"
"Boomers",2,"Professional"
"Boomers",7,"Education"
"Millenials",6,"Clerical"
"GenerationX",7,"Sales"
"Millenials",6,"Education"
"GenerationX",3,"Education"
"Gen2020",4,"Clerical"
"Boomers",6,"Clerical"
"Millenials",7,"Education"
"GenerationX",4,"Education"
"Boomers",5,"Clerical"
"Boomers",7,"Education"
"Millenials",3,"Professional"
"Millenials",5,"Clerical"
"Boomers",7,"Professional"
"Millenials",4,"Clerical"
"GenerationX",3,"Clerical"
"Gen2020",5,"Pop Star"
"Millenials",8,"Professional"
"GenerationX",4,"Education"
"Gen2020",1,"Sales"
"GenerationX",6,"Sales"
"GenerationX",4,"Clerical"
"Gen2020",4,"Professional"
"GenerationX",2,"Clerical"
"Boomers",5,"Sales"
"Boomers",6,"Education"
"Boomers",3,"Clerical"
"GenerationX",5,"Education"
"GenerationX",3,"Education"
"Boomers",5,"Sales"
"GenerationX",2,"Professional"
"Millenials",4,"Sales"
"Boomers",2,"Clerical"
"Gen2020",4,"Sales"
"GenerationX",4,"Clerical"
"Traditionalists",8,"Professional"
"Millenials",6,"Education"
"Millenials",5,"Sales"
"Gen2020",4,"Clerical"
"Millenials",5,"Clerical"
"GenerationX",5,"Professional"
"Boomers",3,"Clerical"
"Millenials",4,"Clerical"
"GenerationX",3,"Education"
"Boomers",5,"Clerical"
"Millenials",6,"Education"
"Millenials",7,"Education"
"Millenials",4,"Education"
"GenerationX",5,"Education"
"Boomers",4,"Professional"
"GenerationX",3,"Sales"
"Millenials",3,"Clerical"
"GenerationX",3,"Sales"
"GenerationX",4,"Sales"
"GenerationX",6,"Clerical"
"GenerationX",2,"Sales"
"Millenials",6,"Sales"
"Boomers",6,"Education"
"Millenials",4,"Clerical"
"Gen2020",2,"Clerical"
"GenerationX",6,"Education"
"Boomers",6,"Professional"
"Gen2020",4,"Professional"
"Boomers",6,"Education"
"Boomers",4,"Clerical"
"Millenials",7,"Clerical"
"Boomers",2,"Professional"
"GenerationX",3,"Professional"
"Millenials",5,"Professional"
"GenerationX",7,"Clerical"
"Boomers",3,"Professional"
"GenerationX",4,"Clerical"
"GenerationX",4,"Professional"
"Gen2020",3,"Education"
"Boomers",3,"Sales"
"Millenials",5,"Professional"
"Millenials",4,"Professional"
"Millenials",4,"Clerical"
"Boomers",6,"Clerical"
"Boomers",2,"Clerical"
"Millenials",8,"Clerical"
"GenerationX",2,"Education"
"Boomers",2,"Clerical"
"Millenials",7,"Education"
"Boomers",3,"Education"
"Boomers",4,"Clerical"
"GenerationX",6,"Sales"
"GenerationX",5,"Education"
"Gen2020",1,"Professional"
"Millenials",5,"Clerical"
"Millenials",6,"Clerical"
"Boomers",3,"Professional"
"Boomers",5,"Sales"
"GenerationX",3,"Sales"
"Boomers",6,"Professional"
"Millenials",8,"Education"
"GenerationX",6,"Sales"
"Boomers",4,"Sales"
"Boomers",7,"Sales"
"GenerationX",2,"Professional"
"GenerationX",3,"Pop Star"
"Millenials",8,"Clerical"
"GenerationX",3,"Sales"
"GenerationX",7,"Clerical"
"Millenials",6,"Clerical"
"Millenials",3,"Clerical"
"Millenials",8,"Clerical"
"GenerationX",5,"Sales"
"Boomers",7,"Clerical"
"Millenials",3,"Education"
"Millenials",5,"Education"
"GenerationX",4,"Sales"
"Boomers",6,"Sales"
"Boomers",7,"Pop Star"
"Boomers",4,"Clerical"
"Boomers",7,"Professional"
"Millenials",8,"Professional"
"GenerationX",2,"Clerical"
"Gen2020",1,"Professional"
"Boomers",2,"Professional"
"Gen2020",4,"Sales"
"Millenials",8,"Education"
"GenerationX",4,"Clerical"
"Millenials",5,"Clerical"
"Boomers",4,"Clerical"
"GenerationX",3,"Clerical"
"GenerationX",6,"Clerical"
"Millenials",8,"Clerical"
"Gen2020",0,"Education"
"Millenials",3,"Clerical"
"GenerationX",6,"Education"
"GenerationX",6,"Sales"
"GenerationX",3,"Clerical"
"Millenials",7,"Education"
"Boomers",3,"Clerical"
"Gen2020",0,"Sales"
"GenerationX",5,"Professional"
"GenerationX",4,"Sales"
"Gen2020",0,"Education"
"Millenials",5,"Clerical"
"Gen2020",5,"Education"
"GenerationX",6,"Clerical"
"Millenials",7,"Education"
"GenerationX",5,"Professional"
"Boomers",5,"Professional"
"GenerationX",5,"Sales"
"Boomers",5,"Sales"
"Millenials",5,"Clerical"
"Millenials",7,"Sales"
"Gen2020",2,"Education"
"Millenials",6,"Education"
"Boomers",7,"Education"
"GenerationX",4,"Education"
"Millenials",5,"Professional"
"Millenials",4,"Clerical"
"Boomers",2,"Education"
"Millenials",5,"Clerical"
"Gen2020",4,"Professional"
"Boomers",5,"Education"
"Millenials",3,"Sales"
"GenerationX",7,"Professional"
"GenerationX",2,"Sales"
"GenerationX",7,"Sales"
"GenerationX",2,"Sales"
"GenerationX",4,"Education"
"Millenials",8,"Education"
"Traditionalists",9,"Clerical"
"Boomers",2,"Sales"
"Boomers",7,"Education"
"GenerationX",2,"Education"
"Millenials",4,"Sales"
"Millenials",8,"Clerical"
"Boomers",5,"Education"
"Gen2020",5,"Education"
"Boomers",7,"Clerical"
"GenerationX",3,"Clerical"
"Millenials",6,"Clerical"
"GenerationX",4,"Clerical"
"Gen2020",1,"Clerical"
"Gen2020",1,"Clerical"
"GenerationX",3,"Sales"
"Millenials",3,"Clerical"
"Millenials",7,"Sales"
"GenerationX",5,"Sales"
"Millenials",6,"Clerical"
"Traditionalists",10,"Clerical"
"Millenials",6,"Education"
"GenerationX",2,"Sales"
"GenerationX",2,"Clerical"
"GenerationX",5,"Clerical"
"GenerationX",3,"Sales"
"GenerationX",3,"Clerical"
"Millenials",5,"Education"
"GenerationX",7,"Professional"
"GenerationX",4,"Education"
"Millenials",5,"Sales"
"GenerationX",4,"Professional"
"Boomers",3,"Clerical"
"Millenials",3,"Clerical"
"GenerationX",4,"Sales"
"Millenials",3,"Clerical"
"Boomers",7,"Professional"
"GenerationX",7,"Education"
"GenerationX",7,"Pop Star"
"Gen2020",1,"Clerical"
"GenerationX",5,"Education"
"Boomers",7,"Professional"
"GenerationX",7,"Professional"
"GenerationX",5,"Education"
"Millenials",4,"Clerical"
"Millenials",3,"Clerical"
"Boomers",2,"Education"
"GenerationX",4,"Clerical"
"Gen2020",4,"Sales"
"Boomers",4,"Education"
"Gen2020",4,"Pop Star"
"Millenials",3,"Sales"
"Millenials",5,"Education"
"Millenials",6,"Clerical"
"GenerationX",2,"Education"
"Millenials",7,"Professional"
"Boomers",6,"Professional"
"GenerationX",7,"Professional"
"Boomers",5,"Sales"
"Millenials",3,"Clerical"
"Millenials",3,"Professional"
"Boomers",6,"Professional"
"GenerationX",7,"Clerical"
"GenerationX",7,"Sales"
"GenerationX",5,"Clerical"
"Millenials",4,"Clerical"
"Millenials",3,"Professional"
"GenerationX",3,"Pop Star"
"GenerationX",2,"Professional"
"Gen2020",1,"Clerical"
"Millenials",6,"Sales"
"GenerationX",7,"Education"
"GenerationX",4,"Professional"
"Millenials",5,"Sales"
"GenerationX",2,"Education"
"Millenials",4,"Sales"
"GenerationX",3,"Professional"
"GenerationX",4,"Clerical"
"Millenials",3,"Sales"
"GenerationX",2,"Pop Star"
"GenerationX",5,"Clerical"
"Gen2020",2,"Education"
"GenerationX",6,"Education"
"GenerationX",3,"Clerical"
"GenerationX",7,"Sales"
"Millenials",3,"Education"
"Millenials",3,"Sales"
"Millenials",7,"Professional"
"Boomers",6,"Education"
"Boomers",7,"Education"
"Millenials",3,"Pop Star"
"Boomers",7,"Professional"
"Boomers",6,"Professional"
"Millenials",8,"Professional"
"Boomers",6,"Education"
"Boomers",6,"Education"
"Millenials",7,"Sales"
"Millenials",6,"Clerical"
"GenerationX",6,"Professional"
"GenerationX",5,"Professional"
"Boomers",5,"Pop Star"
"Boomers",4,"Education"
"Gen2020",2,"Clerical"
"GenerationX",6,"Clerical"
"Millenials",6,"Clerical"
"Boomers",7,"Sales"
"Millenials",5,"Clerical"
"GenerationX",4,"Clerical"
"Boomers",4,"Clerical"
"GenerationX",4,"Sales"
"GenerationX",2,"Sales"
"GenerationX",3,"Sales"
"Boomers",7,"Sales"
"Millenials",4,"Professional"
"Millenials",3,"Clerical"
"Boomers",3,"Education"
"GenerationX",2,"Education"
"GenerationX",5,"Professional"
"Boomers",2,"Professional"
"GenerationX",2,"Education"
"Millenials",3,"Clerical"
"GenerationX",3,"Clerical"
"Boomers",7,"Clerical"
"Boomers",7,"Clerical"
"GenerationX",7,"Clerical"
"GenerationX",4,"Sales"
"Millenials",3,"Professional"
"Gen2020",0,"Clerical"
"Gen2020",3,"Clerical"
"Millenials",5,"Clerical"
"Boomers",6,"Clerical"
"Gen2020",5,"Education"
"GenerationX",2,"Education"
"Boomers",6,"Professional"
"GenerationX",6,"Education"
"Gen2020",3,"Sales"
"Boomers",2,"Education"
"Gen2020",2,"Professional"
"Millenials",3,"Clerical"
"Millenials",4,"Professional"
"GenerationX",3,"Professional"
"Millenials",3,"Clerical"
"GenerationX",6,"Clerical"
"GenerationX",3,"Professional"
"Millenials",6,"Professional"
"Boomers",3,"Education"
"Boomers",3,"Clerical"
"GenerationX",2,"Professional"
"Millenials",7,"Clerical"
"Millenials",8,"Clerical"
"Boomers",3,"Clerical"
"GenerationX",6,"Education"
"Millenials",5,"Clerical"
"Boomers",4,"Clerical"
"Millenials",4,"Clerical"
"GenerationX",2,"Education"
"Millenials",5,"Education"
"Boomers",4,"Clerical"
