Country,Subgroup,Year,Fertility
Belgium,25-29 yr,2000-2005,129.8
Belgium,30-34 yr,1995-2000,86.8
Belgium,30-34 yr,2000-2005,94.4
Belgium,35-39 yr,1995-2000,27.3
Belgium,35-39 yr,2000-2005,33
Belgium,40-44 yr,1995-2000,4.1
Belgium,40-44 yr,2000-2005,4.8
Belgium,45-49 yr,1995-2000,0.2
Belgium,45-49 yr,2000-2005,0.2
France,15-19 yr,1995-2000,7.2
France,15-19 yr,2000-2005,8
France,20-24 yr,1995-2000,53.9
France,20-24 yr,2000-2005,55.6
France,25-29 yr,1995-2000,130
France,25-29 yr,2000-2005,129.6
France,30-34 yr,1995-2000,107.3
France,30-34 yr,2000-2005,118.8
France,35-39 yr,1995-2000,44.3
France,35-39 yr,2000-2005,52.6
France,40-44 yr,1995-2000,9.3
France,40-44 yr,2000-2005,11.6
France,45-49 yr,1995-2000,0.5
France,45-49 yr,2000-2005,0.6
Portugal,15-19 yr,1995-2000,17.1
Portugal,15-19 yr,2000-2005,16.4
Portugal,20-24 yr,1995-2000,68.2
Portugal,20-24 yr,2000-2005,51.3
Portugal,25-29 yr,1995-2000,103.3
Portugal,25-29 yr,2000-2005,89.4
Portugal,30-34 yr,1995-2000,72.7
Portugal,30-34 yr,2000-2005,86.5
Portugal,35-39 yr,1995-2000,27.3
Portugal,35-39 yr,2000-2005,39
Portugal,40-44 yr,1995-2000,6.3
Portugal,40-44 yr,2000-2005,8.2
Portugal,45-49 yr,1995-2000,0.1
Portugal,45-49 yr,2000-2005,0.1
Spain,15-19 yr,1995-2000,8
Spain,15-19 yr,2000-2005,10.2
Spain,20-24 yr,1995-2000,25.2
Spain,20-24 yr,2000-2005,28.4
Spain,25-29 yr,1995-2000,72.1
Spain,25-29 yr,2000-2005,65.6
Spain,30-34 yr,1995-2000,88.9
Spain,30-34 yr,2000-2005,97.2
Spain,35-39 yr,1995-2000,36.1
Spain,35-39 yr,2000-2005,47.8
Spain,40-44 yr,1995-2000,5.7
Spain,40-44 yr,2000-2005,7.8
Spain,45-49 yr,1995-2000,0.3
Spain,45-49 yr,2000-2005,0.4
Luxembourg,15-19 yr,1995-2000,10.2
Luxembourg,15-19 yr,2000-2005,11.8
Luxembourg,20-24 yr,1995-2000,64.3
Luxembourg,20-24 yr,2000-2005,58.8
Luxembourg,25-29 yr,1995-2000,119.9
Luxembourg,25-29 yr,2000-2005,107.1
Luxembourg,30-34 yr,1995-2000,103.8
Luxembourg,30-34 yr,2000-2005,104.1
Luxembourg,35-39 yr,1995-2000,39.6
Luxembourg,35-39 yr,2000-2005,44.3
Luxembourg,40-44 yr,1995-2000,6.2
Luxembourg,40-44 yr,2000-2005,7.6
Luxembourg,45-49 yr,1995-2000,0.2
Luxembourg,45-49 yr,2000-2005,0.3
Germany,15-19 yr,1995-2000,12.8
Germany,15-19 yr,2000-2005,11
Germany,20-24 yr,1995-2000,58.5
Germany,20-24 yr,2000-2005,53.4
Germany,25-29 yr,1995-2000,91.8
Germany,25-29 yr,2000-2005,90.9
Germany,30-34 yr,1995-2000,74.3
Germany,30-34 yr,2000-2005,79
Germany,35-39 yr,1995-2000,26.4
Germany,35-39 yr,2000-2005,30.1
Germany,40-44 yr,1995-2000,4.1
Germany,40-44 yr,2000-2005,4.6
Germany,45-49 yr,1995-2000,0.2
Germany,45-49 yr,2000-2005,0.2
Switzerland,15-19 yr,1995-2000,5.8
Switzerland,15-19 yr,2000-2005,4.9
Switzerland,20-24 yr,1995-2000,47.3
Switzerland,20-24 yr,2000-2005,42.6
Switzerland,25-29 yr,1995-2000,106.5
Switzerland,25-29 yr,2000-2005,100.3
Switzerland,30-34 yr,1995-2000,95.2
Switzerland,30-34 yr,2000-2005,94.1
Switzerland,35-39 yr,1995-2000,34
Switzerland,35-39 yr,2000-2005,35.7
Switzerland,40-44 yr,1995-2000,5
Switzerland,40-44 yr,2000-2005,5.2
Switzerland,45-49 yr,1995-2000,0.2
Switzerland,45-49 yr,2000-2005,0.2
Italy,15-19 yr,1995-2000,6.4
Italy,15-19 yr,2000-2005,6.9
Italy,20-24 yr,1995-2000,33.7
Italy,20-24 yr,2000-2005,34.1
Italy,25-29 yr,1995-2000,78.7
Italy,25-29 yr,2000-2005,76.7
Italy,30-34 yr,1995-2000,80.3
Italy,30-34 yr,2000-2005,87.5
Italy,35-39 yr,1995-2000,36.3
Italy,35-39 yr,2000-2005,43.5
Italy,40-44 yr,1995-2000,6.9
Italy,40-44 yr,2000-2005,8.2
Italy,45-49 yr,1995-2000,0.3
Italy,45-49 yr,2000-2005,0.4
